New,dl_bler,ul_bler,conn_avg,conn_max,interx2in_succ_rate,interx2out_succ_rate,intraenb_succ_rate,dl_prb,ul_prb,reconfig_succ_rate
1004_0-20211024-17,11.698271695034,28.2008915216805,30.1750972762646,51.0,97.7594339622642,99.9376558603491,99.7709049255441,44.0015198863636,36.5225852272727,98.0014131422227
1004_0-20211024-18,10.914391647154,27.8986291323354,28.9115684093437,44.0,97.7455716586151,99.9150382327952,99.8505231689088,32.7328307254623,37.1864722617354,98.0517937752435
1004_0-20211024-19,10.4553434944935,24.3428220046438,28.8171206225681,43.0,97.4937343358396,99.9095022624434,100.0,33.7980512091038,30.8218207681366,99.365234375
1004_0-20211024-20,10.4118605162639,24.8869120580041,29.9244024458032,46.0,97.791519434629,100.0,,43.7791180654339,36.2982645803699,98.3502264395083
1004_0-20211024-21,9.56800642183075,19.5216411356705,27.9549499443827,41.0,96.1352657004831,99.8663101604278,99.5884773662551,41.8599857752489,32.1313798008535,99.512526924385
1004_0-20211024-22,8.99011846778143,18.1264425930709,31.118399110617,46.0,97.3813420621931,100.0,100.0,58.8334139402561,43.9473257467994,99.1346955796497
1004_0-20211024-23,9.15799302729483,16.6547736291243,,,96.1538461538462,99.4736842105263,,47.9153485064011,35.620839260313,99.158147925436
1004_0-20211025-0,8.50826437972664,15.5694145642378,29.5269594219011,46.0,98.6486486486486,100.0,100.0,,,99.749406489053
1004_0-20211025-1,7.24953644100048,15.7690285176398,24.6008893829906,38.0,98.5815602836879,100.0,100.0,23.2712784090909,15.0532528409091,99.634944612286
1004_0-20211025-2,6.11933508311461,15.1811775593494,25.3822222222222,40.0,97.4358974358974,100.0,100.0,21.6845803698435,26.9014651493599,99.4342712520471
1004_0-20211025-3,6.04494808108963,16.2836437342309,21.621456364647,34.0,99.0291262135922,100.0,100.0,15.7857325746799,9.53411095305832,99.8326996197719
1004_0-20211025-4,7.26306887552225,21.3787429600741,20.0,34.0,100.0,100.0,97.8723404255319,13.8299004267425,6.66416785206259,99.8307692307692
1004_0-20211025-5,6.48145654830307,20.9228373617484,20.5341856586993,34.0,96.9465648854962,100.0,100.0,13.5666287339972,7.50126600284495,100.475533057217
1004_0-20211025-6,8.59672531501114,24.106602502782,22.5330739299611,39.0,97.8764478764479,100.0,100.0,19.47213371266,12.7224751066856,100.174241324234
1004_0-20211025-7,8.54702027060323,22.2791550654911,24.3952195664258,39.0,98.9795918367347,100.0,100.0,21.0365007112376,15.1477667140825,98.9541207641891
1004_0-20211025-8,11.3054330335697,31.2557416925514,27.9816564758199,49.0,98.0046047582502,99.7416020671835,99.7711670480549,,,98.1833803854179
1004_0-20211025-9,10.1269934692307,24.7316522898975,25.7520844913841,43.0,98.130081300813,99.8353909465021,99.7601918465228,22.8261079545455,24.7337642045455,98.1501485282204
1004_0-20211025-10,9.70003448782438,19.4270432551949,23.9066147859922,37.0,97.4336283185841,99.8217468805704,99.5085995085995,19.9193314366999,22.7031436699858,97.9154078549849
1004_0-20211025-11,10.8225455397437,20.6171153617199,29.4822024471635,44.0,97.9066022544283,99.8390989541432,99.6296296296296,31.0801422475107,40.5506258890469,97.3271107339839
1004_0-20211025-12,10.2847155957192,23.581155690162,29.5591995553085,47.0,97.1690895179801,99.9210110584518,100.0,40.1287482219061,37.9668847795164,98.3548090197883
1004_0-20211025-13,11.340056843903,25.7090422365577,28.9032795997777,44.0,97.0948012232416,100.0,100.0,27.2089900426743,30.5633712660028,98.1907469630396
1004_0-20211025-14,9.73099264309379,25.6451765788858,32.3008898776418,49.0,95.1704545454546,99.8148148148148,99.8188405797102,25.3176813655761,31.9471834992888,98.7011507348753
1004_0-20211025-15,11.3315781850403,33.9852505118523,30.4452473596442,51.0,97.2222222222222,100.0,99.6927803379416,27.338307254623,33.0170839260313,98.225335668418
1004_0-20211025-16,11.2071856999702,26.6297953129725,25.5397443023902,42.0,97.4610974610975,99.8366013071895,99.6289424860854,29.3582645803699,33.6687766714083,97.3278665347095
1004_0-20211025-17,11.910750715192,29.2594235186413,26.7647385984427,46.0,98.0769230769231,100.0,99.8527245949926,27.9608238636364,36.4754829545455,97.4415900200867
1004_0-20211025-18,11.6643203051107,28.380874264584,29.3457476375764,46.0,97.4889217134417,99.9253174010456,99.8470948012233,40.2919630156472,37.7267852062589,97.6182136602452
1004_0-20211025-19,11.6591319597781,25.9921302028905,34.9271817676487,50.0,97.5476839237057,100.0,100.0,39.3274110953058,41.897667140825,98.0708412397217
1004_0-20211025-20,10.7602499432941,23.7478239422371,31.2452725250278,51.0,97.4694589877836,100.0,100.0,45.6072830725462,36.5021052631579,98.9671707856879
